Monster Name,HP,Move 1,Move 2,Move 3,Move 4,Move 5,Move 6,Notes,AI
,265,"Team Block 16, Team Plated Armor 3","Damage 12x2, Daze 2*",,,,,,
,,,,,,,,,
The Guardian,240 (250),,,,,,,,
Offensive Mode,,Charge Up,Fierce Bash,Vent Steam,Whirlwind,,,"After receiving 30 + 10*X (35 + 10*X) (40 + 10*X) damage, gains 20 block and immediately enters Defensive Mode. X is the number of such transitions that have occured.","Always cycles in the order of Charge Up -> Fierce Bash -> Vent Steam -> Whirlwind. The fight always begins with Charge Up. After using Twin Slam in defensive mode, Whirlwind is used next."
,,Block 9,Damage 32,Weak + Vuln 2,Damage 5x4,,,,
,,,Damage 36,,,,,,
,,,,,,,,,
Defensive Mode,,Close Up,Roll Attack,Twin Slam,,,,Sharp Hide returns 3 (4) damage after an Attack card is played. It is not the same effect as Thorns.,"Always uses Close Up, then Roll Attack, then Twin Slam (after which he returns to offensive mode with Whirlwind)."
,,Sharp Hide 3,Damage 9,Enter Offensive Mode,,,,,
,,,Damage 10,Damage 8x2,,,,,
,,Sharp Hide 4,,Remove Sharp Hide,,,,,
Hexaghost,250,Divider,Inferno,Inflame,Sear,Tackle,Activate,H = (Player's Current HP / 12) + 1,"Always begins with Activate, then Divider. Afterwards, cycles in the order of Sear -> Tackle -> Sear -> Inflame -> Tackle -> Sear -> Inferno, with 0-6 orbs active, respectively."
,,Damage Hx6,"Damage 2x6, Burn 3*","Strength 2, Block 12","Damage 6, Burn 1",Damage 5x2,(does nothing),*Burns go into the Discard Pile,
,264,(deactivates orbs),Upgrade all Burns,,,,(ignites orbs),,
,,,Sear gives Burn+,,,,,,
,,,Deactivates Orbs,,,Damage 6x2,,,
,,,"Damage 3x6, Burn 3*","Strength 3, Block 12","Damage 6, Burn 2*",,,,
Slime Boss,140,Goop Spray,Preparing,Slam,Split,,,Splits into a Spike Slime (L) and an Acid Slime (L) if HP is 50% or below,Always cycles in the order of Goop Spray -> Preparing -> Slam.
,,Slimed 3*,Skip Turn,Damage 35,,,,,
,150,,,Damage 38,,,,*Slimed go into the Discard Pile,
,,Slimed 5*,,,,,,,
Time Eater,456,Ripple,Reverberate,Head Slam,Haste,,,Innate Time Warp,"Always uses Haste once, immediately after reaching below 50% HP. Otherwise, approximately a (20/45/35) probability split between Ripple, Reverberate, and Head Slam, except Ripple and Head Slam cannot be used twice in a row, and Reverberate cannot be used three times in a row."
,,"Block 20, Vuln + Weak 1",Damage 7x3,"Damage 26, Draw Reduction 1",Cleanse Debuffs,,,Draw Reduction lasts for 2 turns,
,480,,,,Heal to 50% HP,,,*Slimed go into the Draw Pile,
,,,Damage 8x3,"Damage 32, Draw Reduction 1",,,,,
,,,,,,,,,
,,"Block 20, Vuln, Weak, Frail 1",,"Damage 32, Draw Reduction 1,Slimed 2*","Heal to 50% HP, Block 32",,,,
